Index,Sub,EDSname,Datatype,Access,Value,varname,LowLimit,UpLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,ImplementationType,Size,ObjectCode,mapable
0x1280,0x00,SDO client parameter Highest sub-index supported,UNSIGNED8,const,3,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1280,0x01,SDO client parameter COB-ID client -> server,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1280,0x02,SDO client parameter COB-ID server -> client,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1280,0x03,SDO client parameter Node-ID of the SDO server,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1281,0x00,SDO client parameter Highest sub-index supported,UNSIGNED8,const,3,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1281,0x01,SDO client parameter COB-ID client -> server,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1281,0x02,SDO client parameter COB-ID server -> client,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1281,0x03,SDO client parameter Node-ID of the SDO server,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1400,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1400,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1400,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1401,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1401,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1401,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1402,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1402,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1402,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,254,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1403,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1403,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1403,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1404,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1404,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1404,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1405,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1405,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1405,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1406,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1406,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1406,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1407,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1407,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1407,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1408,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1408,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1408,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1409,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1409,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1409,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x140a,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x140a,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x140a,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x140b,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x140b,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x140b,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x140c,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x140c,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x140c,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
